Subcategory,Mean Score,Diff Score
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.5,1.0
Quality of Introduction and Conclusion,7.5,-1.0
Quality of Introduction and Conclusion,6.0,2.0
Quality of Introduction and Conclusion,7.0,1.0
Quality of Introduction and Conclusion,6.75,0.5
Quality of Introduction and Conclusion,6.0,2.0
Quality of Introduction and Conclusion,8.0,-1.0
Quality of Introduction and Conclusion,7.5,1.0
Accuracy and Completeness of Citations,6.0,0.0
Accuracy and Completeness of Citations,9.5,0.0
Accuracy and Completeness of Citations,10.0,0.0
Accuracy and Completeness of Citations,8.25,-0.5
Accuracy and Completeness of Citations,8.0,0.0
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,9.25,0.5
Accuracy and Completeness of Citations,8.5,1.0
Accuracy and Completeness of Citations,9.0,0.0
Accuracy and Completeness of Citations,8.75,0.5
Timeliness and Relevance of References,5.0,1.0
Timeliness and Relevance of References,8.0,-1.0
Timeliness and Relevance of References,8.0,0.0
Timeliness and Relevance of References,7.75,-0.5
Timeliness and Relevance of References,6.5,-1.0
Timeliness and Relevance of References,7.5,1.0
Timeliness and Relevance of References,8.0,-1.0
Timeliness and Relevance of References,7.5,1.0
Timeliness and Relevance of References,8.0,-1.0
Timeliness and Relevance of References,7.0,1.0
Avoidance of Plagiarism and Appropriate Citation,5.0,0.0
Avoidance of Plagiarism and Appropriate Citation,7.5,-1.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,7.75,-0.5
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,7.25,0.5
Avoidance of Plagiarism and Appropriate Citation,8.5,0.0
Avoidance of Plagiarism and Appropriate Citation,6.5,1.0
Avoidance of Plagiarism and Appropriate Citation,8.75,-0.5
Avoidance of Plagiarism and Appropriate Citation,7.25,0.5
Critical Analysis of Existing Research,5.5,-1.0
Critical Analysis of Existing Research,7.75,-1.5
Critical Analysis of Existing Research,7.5,-1.0
Critical Analysis of Existing Research,7.75,-1.5
Critical Analysis of Existing Research,5.5,-1.0
Critical Analysis of Existing Research,7.25,1.5
Critical Analysis of Existing Research,7.0,-1.0
Critical Analysis of Existing Research,6.5,1.0
Critical Analysis of Existing Research,7.0,-1.0
Critical Analysis of Existing Research,7.25,1.5
Proposal of New Research Directions or Questions,5.5,-1.0
Proposal of New Research Directions or Questions,6.75,-1.5
Proposal of New Research Directions or Questions,6.5,-1.0
Proposal of New Research Directions or Questions,7.0,-2.0
Proposal of New Research Directions or Questions,4.5,-1.0
Proposal of New Research Directions or Questions,6.75,1.5
Proposal of New Research Directions or Questions,6.25,-1.5
Proposal of New Research Directions or Questions,7.5,1.0
Proposal of New Research Directions or Questions,8.0,-1.0
Proposal of New Research Directions or Questions,7.0,1.0
Potential Contribution to the Field,5.5,-1.0
Potential Contribution to the Field,7.0,-1.0
Potential Contribution to the Field,7.5,-1.0
Potential Contribution to the Field,7.75,-1.5
Potential Contribution to the Field,6.5,-1.0
Potential Contribution to the Field,7.25,1.5
Potential Contribution to the Field,8.0,-1.0
Potential Contribution to the Field,7.5,1.0
Potential Contribution to the Field,8.0,-1.0
Potential Contribution to the Field,7.5,1.0
Clarity of Research Method Description,5.0,-2.0
Clarity of Research Method Description,6.5,-1.0
Clarity of Research Method Description,6.5,1.0
Clarity of Research Method Description,7.5,-1.0
Clarity of Research Method Description,6.0,2.0
Clarity of Research Method Description,6.5,1.0
Clarity of Research Method Description,7.25,-0.5
Clarity of Research Method Description,6.5,1.0
Clarity of Research Method Description,7.75,0.5
Clarity of Research Method Description,7.0,1.0
Rationality of Method Selection,5.5,-1.0
Rationality of Method Selection,7.0,-1.0
Rationality of Method Selection,6.5,1.0
Rationality of Method Selection,7.25,-0.5
Rationality of Method Selection,6.5,1.0
Rationality of Method Selection,7.0,1.0
Rationality of Method Selection,7.75,-0.5
Rationality of Method Selection,6.5,1.0
Rationality of Method Selection,7.75,-0.5
Rationality of Method Selection,7.0,1.0
Rigor of Research Design,4.75,-1.5
Rigor of Research Design,6.0,-1.0
Rigor of Research Design,5.5,1.0
Rigor of Research Design,6.75,-0.5
Rigor of Research Design,5.5,1.0
Rigor of Research Design,6.0,1.0
Rigor of Research Design,6.5,-1.0
Rigor of Research Design,5.5,1.0
Rigor of Research Design,7.0,-1.0
Rigor of Research Design,6.25,0.5
Inclusion of Latest Research Results,5.0,1.0
Inclusion of Latest Research Results,8.0,-1.0
Inclusion of Latest Research Results,7.5,1.0
Inclusion of Latest Research Results,7.75,-0.5
Inclusion of Latest Research Results,6.5,-1.0
Inclusion of Latest Research Results,7.25,1.5
Inclusion of Latest Research Results,7.0,-1.0
Inclusion of Latest Research Results,7.5,1.0
Inclusion of Latest Research Results,8.0,-1.0
Inclusion of Latest Research Results,7.5,1.0
Reflection of Current Research Hotspots,5.0,1.0
Reflection of Current Research Hotspots,6.5,-1.0
Reflection of Current Research Hotspots,6.5,1.0
Reflection of Current Research Hotspots,7.25,-0.5
Reflection of Current Research Hotspots,5.5,-1.0
Reflection of Current Research Hotspots,6.75,1.5
Reflection of Current Research Hotspots,6.5,-1.0
Reflection of Current Research Hotspots,7.5,1.0
Reflection of Current Research Hotspots,8.0,-1.0
Reflection of Current Research Hotspots,7.0,1.0
Fluency of Language Expression,4.5,-1.0
Fluency of Language Expression,5.0,-1.0
Fluency of Language Expression,4.5,1.0
Fluency of Language Expression,4.75,-0.5
Fluency of Language Expression,4.5,1.0
Fluency of Language Expression,4.25,0.5
Fluency of Language Expression,4.5,0.0
Fluency of Language Expression,4.5,1.0
Fluency of Language Expression,6.0,-1.0
Fluency of Language Expression,4.25,0.5
Appropriateness of Professional Terminology Use,4.75,0.5
Appropriateness of Professional Terminology Use,7.0,-1.0
Appropriateness of Professional Terminology Use,4.5,1.0
Appropriateness of Professional Terminology Use,7.25,-0.5
Appropriateness of Professional Terminology Use,5.5,1.0
Appropriateness of Professional Terminology Use,4.75,0.5
Appropriateness of Professional Terminology Use,4.5,0.0
Appropriateness of Professional Terminology Use,4.5,1.0
Appropriateness of Professional Terminology Use,7.0,-1.0
Appropriateness of Professional Terminology Use,7.25,0.5
Conciseness of Expression,4.75,-0.5
Conciseness of Expression,6.0,-1.0
Conciseness of Expression,4.5,1.0
Conciseness of Expression,7.25,-0.5
Conciseness of Expression,5.5,1.0
Conciseness of Expression,5.0,1.0
Conciseness of Expression,6.0,-1.0
Conciseness of Expression,4.5,1.0
Conciseness of Expression,7.0,-1.0
Conciseness of Expression,6.25,0.5
Practical Application Potential of Research Results,5.0,-1.0
Practical Application Potential of Research Results,7.5,-1.0
Practical Application Potential of Research Results,7.5,1.0
Practical Application Potential of Research Results,7.75,-0.5
Practical Application Potential of Research Results,6.5,-1.0
Practical Application Potential of Research Results,7.0,1.0
Practical Application Potential of Research Results,6.75,-1.5
Practical Application Potential of Research Results,7.5,1.0
Practical Application Potential of Research Results,8.0,-1.0
Practical Application Potential of Research Results,7.0,1.0
Feasibility of Proposed Suggestions,4.75,0.5
Feasibility of Proposed Suggestions,6.5,-1.0
Feasibility of Proposed Suggestions,6.5,1.0
Feasibility of Proposed Suggestions,7.0,-1.0
Feasibility of Proposed Suggestions,5.5,-1.0
Feasibility of Proposed Suggestions,6.5,1.0
Feasibility of Proposed Suggestions,6.0,-1.0
Feasibility of Proposed Suggestions,7.5,1.0
Feasibility of Proposed Suggestions,8.0,-1.0
Feasibility of Proposed Suggestions,6.75,0.5
Logic of Argumentation,4.75,-0.5
Logic of Argumentation,7.0,-1.0
Logic of Argumentation,6.5,1.0
Logic of Argumentation,7.25,-0.5
Logic of Argumentation,5.5,1.0
Logic of Argumentation,6.75,0.5
Logic of Argumentation,7.25,-0.5
Logic of Argumentation,6.5,1.0
Logic of Argumentation,8.0,-1.0
Logic of Argumentation,7.0,1.0
Multi-angle Analysis of Problems,4.75,-0.5
Multi-angle Analysis of Problems,6.5,-1.0
Multi-angle Analysis of Problems,6.5,1.0
Multi-angle Analysis of Problems,7.0,-1.0
Multi-angle Analysis of Problems,5.5,-1.0
Multi-angle Analysis of Problems,7.0,1.0
Multi-angle Analysis of Problems,7.0,-1.0
Multi-angle Analysis of Problems,6.5,1.0
Multi-angle Analysis of Problems,8.0,-1.0
Multi-angle Analysis of Problems,7.0,1.0
Identification and Discussion of Research Limitations,4.5,-1.0
Identification and Discussion of Research Limitations,6.0,-1.0
Identification and Discussion of Research Limitations,5.5,1.0
Identification and Discussion of Research Limitations,6.25,-0.5
Identification and Discussion of Research Limitations,5.0,0.0
Identification and Discussion of Research Limitations,6.25,0.5
Identification and Discussion of Research Limitations,6.75,-0.5
Identification and Discussion of Research Limitations,5.5,1.0
Identification and Discussion of Research Limitations,7.0,-1.0
Identification and Discussion of Research Limitations,6.25,0.5
