<quotes>

[1] "The main forms of deactivation are shown in Fig. 12a."
[33] "Zn and Mg with different ratios have also been used to dope the support (Fig. 13e), where the samples with a Zn/(Zn+Mg) of 0.05 showed the highest propylene selectivity (Fig. 13f),137 because the resulting spinel phase is less acidic and thermally more stable."
[34] "Another way to modify an Al2O3 support is to introduce metal oxides (such as TiO2, and CeO2) into it."
[35] "Due to the enhanced interaction between Pt and the supports, the activity, stability This journal is The Royal Society of Chemistry 2021 Chem. Soc. Rev., 2021, 50, 33153354  3335 Chem Soc Rev Review Article Published on 25 January 2021. Downloaded by University of California - Santa Barbara on 5/16/2021 10:10:53 PM."
[36] "View Article Online and anti-coking capability of Pt-based catalysts would be improved to a large extent."
[37] "This kind of modification decreases the acidity of supports, and modulates the dispersion and the electronic properties of Pt."
[38] "3.1.3.1.5 Co-feeding streams. In addition to the modulation of catalyst structures and the properties of supports, changes in reaction conditions by cofeeding streams, such as H2, and CO2,can also have a positive effect on coke elimination."
[39] "Increasing hydrogen pressure leads to a lower coverage of deeply dehy- drogenated coke precursors on the surface (Fig. 13g).138 More recent experiments show that an increasing TOF of propylene during propane dehydrogenation is observed with increasing H2/C3H8 inlet ratio (Fig. 13h)."
[40] "Several explanations are suggested:(i) H2 reduces the coverage of coke precursors, (ii) reaction energies and barriers depend on H2 coverage in a beneficial way, (iii) an alternative and energetically favorable reaction pathway exists at increased H2 coverage and (iv) subsurface hydrogen that may have emerged at high H2 coverage has an effect."
[41] "In addition to H2, cofeeding CO2 is an attractive method,where CO2 acts as a soft oxidant, and can reduce the amount of coke formed at elevated temperature on the catalysts via the reverse Boudouard reaction, thereby increasing conversion and maintaining the stability of the catalysts.139"
[42] "3.1.3.1.6 Enhancing oxygen mobility. The oxidation of the adsorbed surface carbonaceous species can help eliminate the coke deposition over supported metals and thus is beneficial to the improvement of catalytic stability."
[43] "As one of the most significant rare earth oxides, ceria has been widely employed."
[44] "When the cubic fluorite structure of CeO2 is modified with Ga3+ cations, both the surface oxygen mobility and lattice oxygen storage capacity are enhanced.140 DFT calculations show that the addition of Ga can greatly improve C3H6 desorption, and inhibit deep dehydrogenation and the subsequent coke formation."
[45] "3.1.3.1.7 Coke transfer. In addition to inhibiting the coke accumulation on a Pt surface, transferring coke precursors from Pt to supports can also prolong the catalyst life."
[46] "The interaction between Pt and coke precursors is weakened by Pt atoms with high electron density, leading the coke precursors to migrate from the Pt sites to supports, hence resisting coke deposition and improving the stability of the catalyst to a large extent (Fig. 13i)."
[47] "Consequentially, the coke amount was signifi- cantly decreased as the O2-TPO profiles in Fig. 13j show.72 Experimentally, the addition of Sn does not only inhibit CC bond cleavage and improve selectivity towards styrene, but also allow the coke precursors to migrate from the active metals to supports with large surface area."
[48] "A drain off effect is proposed to explain the decrease of the coke coverage on the metallic sites upon addition of Sn."
[49] "But until now, the coke transfer pathway has not been directly demonstrated."
[50] "3.1.3.2 Catalyst sintering"
[51] "3.1.3.2.1 Sintering mechanism. As discussed above, Pt cluster size has a significant influence on the dehydrogenation pathway."
[52] "However, the Pt nanoparticles usually suffer from sintering at high PDH reaction and regeneration temperatures, which could lead to their permanent deactivation."
[53] "In principle, two aspects cause the sintering of metal particles."
[54] "The Ostwald ripening mechanism has been implied for metal nanoparticle sintering,which occurs between the nanoparticles with cognizable diameters."
[55] "Due to their higher surface energies, smaller parti- cles nearby are sacrificed to enhance the interparticle transport of mobile species, causing the larger particles to grow.141 Fig. 13 Anti-coking strategies over Pt-based catalysts."
[56] "Geometric separa- tion: (a) proposed mechanism regarding the influence of Cu on the catalytic performance of Pt/Al2O3, and (b) TEM images taken over the spent Pt and PtCu alloy."
[57] "Reproduced with permission from ref. 44. Copy- right 2014 Royal Society of Chemistry."
[58] "Electron richness: (c) projected density of states for d orbitals of Pt(111) and Pt1Zn1(110), and (d) turnover rate (TOR) as a function of time on stream over Pt and PtZn catalysts."
[59] "Reproduced with permission from ref. 42. Copyright 2017 American Chemical Society."
[60] "Poisoning the acid sites:(e) TEM image of PtZn(Mg)AlOx catalysts, and (f) propane conversion and selectivity of propylene formation for 0.3% Pt/Mg(Zn)AlOx samples versus the fraction of Zn."
[61] "Reproduced with permission from ref. 137. Copyright 2016 Elsevier Inc."
[62] "Cofeeding stream: (g) C3H6 and H2 coverage over Pt(111), and (h) site time yields (STY) of C3H6 (maximum shown with K), CH4, C2H6, and C2H4 as functions of the H2/C3H8 ratio."
[63] "Reproduced with permission from ref. 138. Copyright 2017 American Chemical Society."
[64] "Coke transfer:(i) proposed coke transfer mechanism over Pt/TiAl2O3 catalysts, and (j) O2-TPO profiles of the spent Pt/TiAl2O3 catalysts."
[65] "Reproduced with permission from ref. 72. Copyright 2015 American Chemical Society."
[66] "3.1.3.2.2 SMSI on oxide/non-oxide supports. Strong metal support interaction (SMSI) can be generated from chemical reactions at the metaloxide interface, diffusion, and charge redistribution with a metal contacting with a reducible oxide."
[67] "Alumina-supported Pt is one of the major industrial catalysts for light alkane dehydrogenation."
[68] "Compared to Al2O3, CeO2 is unique on account of its ability to trap Pt atoms in an ionic form due to the stronger SMSI (Fig. 14a)."
[69] "The CeO2-supported PtSn clusters are highly stable, even upon extending the reaction temperature to 680 1C."
[70] "Moreover, upon oxidation the PtSn clusters easily recover to the atomically dispersed species on CeO2 as shown in the TEM images in Fig. 14b, making PtSn/CeO2 a fully regenerable catalyst without deactivation of reaction performance (Fig. 14c).74 In addition to the oxide supports, SMSI is also developed on non-oxide carriers in PDH reactions."
[71] "Yue Wu and coworkers reported thermally stable PtTi intermetallic NPs prepared via SMSI between plati- num and MXenes."
[72] "The results in this case showed that the catalysts become highly selective and stable for light alkane dehydrogenation.55"
[73] "3.1.3.2.3 Encapsulation with oxides, carbon layers or meso- porous materials."
[74] "The confinement situation offered by a sup- port can provide a high surface area for dispersing active metals, and exert a spatial constraint on metal clusters avoiding from sintering."
[75] "The package of a Pt core with an oxide shell could effectively prevent the aggregation of Pt nanoparticles at high temperatures, and changing the core particle size and the thickness of the shell is helpful in realizing controllable cata- lytic performances."
[76] "The coated Pt@SnO2/Al2O3 catalyst exhib- ited better stability during propane dehydrogenation compared with the conventional PtSn/Al2O3 catalyst, which is due to the peculiar coated structure and the coated configuration being Fig. 14 Anti-sintering strategies over Pt-based catalysts."
[77] "SMSI approach: (a) schematic showing the self-assembly and regeneration processes of PtSn nanoclusters in propane dehydrogenation."
[78] "(b) STEM images of the regenerated PtSn/CeO2 catalyst (air, 580 1C and 680 1C), (c) propane dehydrogenation mediated by PtSn/CeO2 showing 3 cycles of a 6 h run, followed by oxidative treatment in flowing air at 580 1C."
[79] "Reproduced with permission from ref. 74. Copyright 2017 Wiley-VCH."
[80] "Encapsulation: (d) graphene coated Pt NPs, structure scheme of Pt/ND@G, and scanning transmission electron microscopy images of (e) Pt/Al2O3 and (f) Pt/ND@G."
[81] "Reproduced with permission from ref. 142. Copyright 2017 American Chemical Society."
[82] "Embedding: (g and h) HR-HAADF-STEM images of the KPtSn@MFI-600H2-6 h sample, and (i) the dispersion of Pt in KPtSn@MFI samples after different pre-reduction treatments with H2 at 600 1C."
[83] "Reproduced with permission from ref. 66. Copyright 2020 Nature."
[84] "This journal is The Royal Society of Chemistry 2021 Chem. Soc. Rev., 2021, 50, 33153354  3337 Chem Soc Rev Review Article Published on 25 January 2021. Downloaded by University of California - Santa Barbara on 5/16/2021 10:10:53 PM."
[85] "View Article Online Therefore, the dehydrogenation is different and complex over different metal oxides."
[86] "Additionally, at present, the identi- fication of dehydrogenation pathways can only be achieved with the help of theoretical simulation."
[87] "Experimental observa- tion to reveal the reaction intermediates and pathways remains a grand challenge."
[88] "3.2.3 Deactivation mechanisms."
[89] "During the dehydrogena- tion of propane, because of the adsorption of paraffin mole- cules on MO sites in metal oxides, the acidbase pairs of metal oxide dehydrogenation catalysts are deactivated owing to coke deposition, and as for Pt-based catalysts, periodical regenera- tion become indispensable."
[90] "Although the catalysts recover most of their activity after each reactionregeneration cycle, the loss of activity due to the sintering in the regeneration process is not entirely reversible."
[91] "In addition, due to the reducibility of some metal oxides, the metal oxides can be reduced to the lower oxidation state or even the metallic state."
[92] "According to the dehydrogenation mechanisms on the metal oxides, controlla- ble regulations of structures and electronic properties, as well as the supports and coverage of the reactants and coke intermediates, can therefore help inhibit the deactivation of metal oxide-based catalysts."
[93] "3.2.3.1 Coke formation"
[94] "3.2.3.1.1 Coking mechanism. Compared with metal-based catalysts, coke formation on metal oxides is more complex due to their more complex structures."
[95] "The coke formation could cover the Lewis acid sites of metal oxides and alter their catalytic properties."
[96] "For CrOx-based catalysts, as shown in Fig. 16a, two typical Raman bands corresponding to coke deposits are observed."
[97] "The G band (1590 cm1) corresponds to the ring vibration of a perfect graphitic lattice, while the D1 band (1320 cm1) corresponds to the ring vibrations of defects and edges of the graphitic lattice.92 It is seen that both the yields of the C1C3 byproducts and the coke increased with the Cr6+ concentration in the catalyst."
[98] "Increasing the Cr6+ concen- tration from 0.78 to 1.68% caused simultaneous increases of the C1C3 yield from 2.3 to 3.3% and the coke yield from 2.81 to 3.8% (Fig. 16b).90 Evgenii V. Kondratenko and coworkers allowed gaining novel insight into coke formation by kinetic Fig. 16 Anti-coking strategies over metal oxide-based catalysts."
[99] "Coke formation: (a) operando Raman spectra of CrOx/Al2O3 obtained over time."
[100] "Reproduced with permission from ref. 92. Copyright 2014 Wiley-VCH."
[101] "(b) Coke and light gas (C1C3 compounds) yields as functions of the Cr6+ concentration in fresh AlCr13.2 catalysts at 567 1C."
[102] "Reproduced with permission from ref. 90. Copyright 2017 Elsevier."
[103] "Oxidation state manipulation:(c) oxidation state manipulation over VOx-based catalysts, and various VOx/Al2O3 with the loadings of V, (d) the ratios of V5+, V4+ and V3+ with the V loadings, and (e) the relationships of performances with different V valence states."
[104] "Reproduced with permission from ref. 98. Copyright 2016 American Chemical Society."
[105] "Dispersion increasing: (f) structure illustration of Mg doping and (g) performance over Mg-doped VOx/Al2O3 catalysts with Mg additions."
[106] "Reproduced with permission from ref. 155. Copyright 2017 Wiley-VCH."
[107] "Cofeeding stream: (h) structure illustration of H2 pretreatment and (i) performances over VOx/Al2O3 catalysts with different H2 pretreatment times."
[108] "Reproduced with permission from ref. 152. Copyright 2018 Wiley-VCH."

</quotes>

<EnglishVersionAnswer>

1. The growing demand for propylene has led to the development of new production methods, particularly propane dehydrogenation (PDH). The understanding of Ga/H-ZSM-5 catalysts for PDH has evolved, with ongoing debate about the active Ga species. Recent research findings have contributed to our current knowledge of these catalysts, including the identification of various Ga species such as Ga3+, [GaH2]+, [GaH]2+, and polymorphs of gallium oxides. However, the roles of different Sn species and the coking behaviors on industrial PtSn/Al2O3 catalysts are still not fully understood under PDH reaction conditions.

</EnglishVersionAnswer>

<ChineseVersionAnswer>

1. 丙烯需求的不断增长推动了新的生产方法的发展，特别是丙烷脱氢（PDH）。对于Ga/H-ZSM-5催化剂在PDH中的理解已经发展，关于活性Ga物种的争论仍在继续。最近的研究发现为这些催化剂的当前知识做出了贡献，包括识别了各种Ga物种，如Ga3+、[GaH2]+、[GaH]2+和镓氧化物的多态。然而，在工业PtSn/Al2O3催化剂上，不同Sn物种的作用和PDH反应条件下的焦化行为仍然没有完全理解。

</ChineseVersionAnswer>
