<quotes>

[1] "Ga speciation in Ga/H-ZSM-5 by in-situ transmission FTIR spectroscopy"
[38] "Introduction of water to the reduced Ga/H-ZSM-5 (Si/Al = 15, Ga/Al = 1.0) at 150 °C leads to the production of H2, in agreement with water acting as an oxidant."
[39] "Based on literature precedents and the water introduction reaction results, we assign the band at 2052 cm−1 to GaOOH."
[40] "Interestingly, introduction of water to Ga/H-ZSM-5 (Si/Al = 15) with lower Ga/Al ratios (0.13) has a much less pronounced impact than those observed on samples with higher Ga/Al ratios."
[41] "In particular, the GaH band on Ga/H-ZSM-5 (Si/Al = 15, Ga/Al = 0.042) barely changes after water introduction (black and red traces of Fig. 7a(i))."
[42] "These observations suggest that the Ga species is different at low Ga/Al ratios (0.13) and high Ga loadings, supporting our hypothesis of two distinct exchanged Ga species."
[43] "Importantly, the threshold Ga/Al ratio (0.13) on Ga/H-ZSM-5 (Si/Al = 15) at which this transition occurs coincides with the point at which the combined GaHx band area levels off as Ga loading increases (Fig. 6), indicating that the same change in Ga speciation is likely responsible for changes in the trends of both GaHx and GaOOH bands."
[44] "It follows that GaHx species formed after treating Ga+H+ pair with H2 at 550 °C (Ga/Al ratio ≥ 0.13) do not react with water to form GaOOH at 150 °C, and only isolated Ga+ species are oxidized."
[45] "Although no detectable GaHx band is observed on Ga/H-ZSM-5 (Si/Al = 39) after reduction at 550 °C (Fig. 5c), GaHx bands appear after the sample is cooled to 150 °C under vacuum (black traces of Fig. 7b), which is similar to that on Ga/H-ZSM-5 (Si/Al = 15), as shown in black traces of Fig. 7a."
[46] "In line with this observation, for the lowest Ga/Al ratio investigated (0.12) on Ga/H-ZSM-5 (Si/Al = 39), water introduction hardly has an effect on the spectra (Fig. 7b(i))."
[47] "The GaOOH band after water introduction grows with the Ga/Al ratio on Ga/H-ZSM-5 (Si/Al = 39), which is consistent with results on samples with a lower Si/Al ratio of 15 (Fig. 7)."
[48] "Isotopic labeling experiments verify that GaHx species do not react with water at 150 °C."
[49] "The hypothesis that the exchanged Ga species exist in two distinct environments (isolated and paired with a neighboring proton), together with the spectral features observed upon water introduction (Figs. 7 and 8), lead to the prediction that water does not react with GaHx at 150 °C."
[50] "H-D exchange experiments were conducted to probe the reactivity of GaHx with water."
[51] "The FTIR spectra of the reduced Ga/H-ZSM-5 (Si/Al = 39, Ga/Al = 1) at 150 °C shows a positive and a negative peaks at 3740 and 3605 cm−1 (Fig. 9a(i)), which can be attributed to the partial restoration of external silanol groups and consumed BAS upon reduction and Ga exchange with BAS, respectively, as discussed previously (Fig. 1)."
[52] "Weak but distinct GaH2 and GaH band centered at 2040 and 2060 cm−1, respectively, are also present (Fig. 9b(i))."
[53] "Upon introduction of H2O (1000 mTorr), a board band spanning 2040–2060 cm−1 appears, corresponding to the formation of GaOOH (Fig. 9b(ii))."
[54] "The broad width of this band makes it difficult to discern whether GaHx bands remain."
[55] "D2O is subsequently introduced (1000 mTorr), leading to the appearance of the SiO-D bands at 2600–2800 cm−1 via the H-D exchange."
[56] "The broad band at 2040–2060 cm−1 largely disappears (Fig. 9b(iii)) while a similarly broad band at 1476 cm−1 appears (Fig. 9c(iii)), attributable to GaOOD due to the H-D exchange."
[57] "Importantly, the band at 2060 cm−1 (and to a lesser degree the 2040 cm−1 band) remains after the introduction of excess of D2O (Fig. 9b(iii)), indicating the presence of GaHx."
[58] "This results confirms the prediction that GaHx does not react with water at 150 °C; proposed based on the lack of change of GaHx bands upon water introduction for samples with low Ga/Al ratios (Fig. 7a(i) and b(i))."
[59] "Reintroduction of H2O in excess is able to largely replace the SiOD and GaOOD bands with SiOH and GaOOH bands, respectively (Fig. 9(iv))."
[60] "Additional spectroscopic investigations confirm that Ga+H+ pair sites, unlike isolated Ga+ sites, cannot react with water at 150 °C, further confirming that these two Ga species possess distinct properties."
[61] "To avoid the complication of having both Ga+H+ pair sites and isolated Ga+ sites, Ga/H-ZSM-5 (Si/Al = 15, Ga/Al = 0.042) is used to investigate the ability of Ga+H+ pair to react with water, as we have shown that this sample has a negligible concentration of isolated Ga+ sites (Fig. 7a(i))."
[62] "Two independent sets of experiments were conducted in which the Ga/H-ZSM-5 (Si/Al = 15, Ga/Al = 0.042), after H2 treatment at 550 °C, was either directly cooled to 150 °C under vacuum or cooled to 150 °C after undergoing 30 min of annealing at 600 °C under vacuum."
[63] "Based on the observed slow decomposition of GaHx species at 550 °C in vacuum (Fig. S10), annealing at 600 °C is expected to more effectively convert GaHx species to Ga+H+ pair sites."
[64] "This is confirmed by the much weaker GaHx bands on the annealed sample than those of the sample without annealing (Fig. 10a(iii) and a(i), respectively), as shown in schematically in Fig. 10b."
[65] "Thus, a significant fraction of Ga+ species in the sample after annealing are present in the form of Ga+H+ pair sites, rather than GaHx."
[66] "No detectable change is observed upon water introduction to both samples at 150 °C, indicating that the Ga+H+ pair is unreactive with water under this condition (Fig. 10a(ii) and a(iv), and Fig. 10b)."
[67] "This is in stark contrast with the isolated Ga+ species, which readily form GaOOH when exposed to water at 150 °C."
[68] "This result then verifies that the reactivity of isolated Ga+ and Ga+H+ pair species are quite different."
[69] "The drastically different properties of Ga+H+ pair and isolated Ga+ sites on Ga/H-ZSM-5 upon exposure to H2 at 550 °C and water at 150 °C strongly suggest the possibility that they could have different catalytic properties in the PDH, which will the subject of study in a future work."

</quotes>

<EnglishVersionAnswer>

1.The gallium/aluminum (Ga/Al) ratio, silicon/aluminum (Si/Al) ratio, and framework aluminum pair density in Ga-modified zeolite catalysts influence the formation and nature of active gallium species, including gallium hydrides. The gallium speciation varies with the basic acid site (BAS) density in the zeolite, which is dependent on the Si/Al ratio. At low Si/Al ratios, paired BAS sites are preferentially exchanged with gallium (Ga+), leading to the formation of Ga+H+ pair sites. At high Si/Al ratios, isolated BAS form isolated Ga+ species. The gallium hydride species (GaHx) formation is dependent on the Si/Al ratio, with higher densities of paired BAS at lower Si/Al ratios facilitating the formation of GaHx species. These relationships reveal that the structure-activity correlations in propane dehydrogenation reactions are influenced by the gallium speciation, which is dependent on the BAS density and the Ga/Al ratio.

</EnglishVersionAnswer>

<ChineseVersionAnswer>

1.镓/铝（Ga/Al）比、硅/铝（Si/Al）比和框架铝对在Ga改性沸石催化剂中活性镓物种（包括镓氢化物）的形成和性质有影响。镓物种的分布随沸石中基本酸位点（BAS）的密度而变化，这取决于Si/Al比。在低Si/Al比下，配对BAS位点优先与镓（Ga+）交换，形成Ga+H+对位点。在高Si/Al比下，孤立BAS形成孤立Ga+物种。镓氢化物物种（GaHx）的形成依赖于Si/Al比，较低的Si/Al比下较高的配对BAS密度有利于GaHx物种的形成。这些关系揭示了在丙烷脱氢反应中的结构-活性相关性受镓物种分布的影响，这取决于BAS密度和Ga/Al比。

</ChineseVersionAnswer>
